"en","zh"
radioactive,放射性的
incapacitate,使无资格
potassium,钾
incorporate,纳入
crippling,极其有害的
slip,滑倒
impending,迫近的
decline,下降
pepper,胡椒
bison,美洲野牛
gist,主旨
hypothetical,假设的
illustrative,解释性的
perspicuous,明白易懂的
intern,实习生
rigorous,严谨的
skim,撇去
podium,讲坛
subordinate,使从属于
swap,交换
transcribe,转录
abbey,修道院
batter,连续猛击
landing,着陆
syllabus,教学大纲
brag,吹嘘
curtsy,屈膝礼
feast,盛宴
gorge,峡谷
lope,轻快的步伐
systemize,使系统化
disturb,打扰
envelope,信封
monitor,监控
submit,提交
palate,味觉
manage,管理
squabble,发生口角
recommend,推荐
compatible,协调的
unity,联合
parliament,国会
mere,仅仅的
hive,蜂箱
tempt,引诱
resort,求助
ravine,沟壑
meteorologist,气象学者
vocation,职业
crevice,缺口
trial,审讯
contest,竞争
recognize,认出
split,分割
counteract,消除
validity,合法性
receiver,接收者
facility,设备
infection,传染
crater,火山口
balcony,阳台
strike,碰撞；（钟）敲响
chunk,厚片
sac,囊
scratch,抓
vaccine,疫苗
paramount,至尊的
version,版本
aesthetic,审美的
provincialism,地方主义
sharply,剧烈地
colonize,建立殖民地
extrinsic,外来的
authorize,授权
margin,边缘；页边空白
disadvantage,缺点
surplus,过剩
harmonic,和声
Saturn,土星
acoustic,听觉的
disprove,证伪
mosaic,马赛克
insert,插入
aloof,冷淡的
simulate,模拟
funding,提供资金
persuasive,有说服力的
render,呈献
influenza,流行性感冒
advanced,先进的
destruction,毁坏
