"en","zh"
episode,（电视剧等）集
caribou,北美驯鹿
prompt,提示
source,源
campaign,（政治）活动
musical,音乐的
emphasize,强调
cater,迎合
fuse,使融合
resonance,共鸣
involve,牵涉
brew,酿造
cast,抛
surrender,投降
foremost,最先的
drill,钻
confront,使面临
era,纪元
glamorous,富有魅力的
amiable,和蔼的
stark,严酷的
apprise,评价
intuitive,直觉的
bait,鱼饵
decorative,装饰性的
stylish,时髦的
brisk,清新的
intact,无损伤的
clasp,搭扣
soda,苏打
clip,弹夹
prevail,盛行
dexterous,惯用右手的
bountiful,慷慨的
cramp,痉挛
expenditure,花费
reflection,反映
famish,使饥饿
cuisine,烹饪
domicile,住处
loose,宽松的
dwindle,使缩小
embark,上船
slog,埋头苦干
translucent,半透明的
imaginary,想象中的
brilliant,杰出的
cohesion,内聚力
pueblo,普韦布洛人
belt,带
council,委员会
license,许可证
silicon,硅
formal,正式的
humidity,湿度
journal,日志
territory,领地
sneaker,运动鞋
commonplace,平凡的事
retire,退休
bustle,喧嚣
civil,公民的
mannerism,怪癖
bark,犬吠
spice,香料
crown,王冠
shelter,庇护所
aspect,方面
incense,熏香
augment,提高
sow,播种
reside,居住于
amplify,增强
obscure,晦涩的
cosmos,宇宙
wary,小心翼翼的
laureate,荣誉获得者
conscious,自觉的
unaided,未受协助的
optional,可选的
admission,准许进入
dolphin,海豚
spill,泄漏
phenomenon,现象
counseling,咨询
nickel,镍
disrepute,坏名声
mine,矿井
nauseous,恶心的
